Domain,Verdict,Detection Ratio,Detection Timestamp,Harmless,Malicious,Suspicious,Live Status
srvupdate.duckdns.org,Malign,11/68,2023-10-25 09:28:49,57,11,0,Dead
ezemnia3.ddns.net,Malign,11/69,2023-11-05 07:38:45,58,11,0,Dead
ns4.kagotsurube.org,Malign,11/68,2023-09-06 23:34:22,57,11,0,Dead
ns3.kagotsurube.org,Malign,14/69,2023-10-16 22:16:29,55,14,0,Dead
ns1.staticjs.xyz,Malign,12/68,2023-10-30 21:55:59,56,12,1,Dead
asssaaass1.qianxinsecurity.com,Malign,12/68,2023-10-30 21:55:58,56,12,0,Dead
abc1.qianxinsecurity.com,Malign,13/69,2023-10-30 21:55:57,56,13,0,Dead
bot1.qianxinsecurity.com,Malign,12/69,2023-09-29 15:54:45,57,12,0,Dead
dns.antegivi.com,Malign,10/67,2023-09-06 23:34:08,57,10,0,Dead
antegivi.com,Malign,11/67,2023-10-17 01:03:53,56,11,0,Dead
