+--------------------------------------------------------+---------+----------+-----------+------------+---------+------------+
|                         Domain                         | Verdict | Harmless | Malicious | Suspicious | Timeout | Undetected |
+--------------------------------------------------------+---------+----------+-----------+------------+---------+------------+
| bannerlord-service-discovery.bannerlord-services-2.net |  Benign |    77    |     0     |     0      |    0    |     15     |
|                    yeeterracing.com                    |  Malign |    68    |     3     |     1      |    0    |     18     |
|                  babbage.betadome.net                  |  Benign |    83    |     0     |     0      |    0    |     10     |
|                 video.browser.tvall.cn                 |  Benign |    79    |     0     |     0      |    0    |     10     |
|                       smaxdn.com                       |  Malign |    69    |     1     |     0      |    0    |     20     |
|                       doogh.club                       |  Benign |    73    |     0     |     0      |    0    |     17     |
|                      torrentz2.eu                      |  Malign |    71    |     1     |     0      |    0    |     17     |
|                    blibli.gw-dv.net                    |  Benign |    83    |     0     |     0      |    0    |     10     |
|                  torrent-download.to                   |  Malign |    70    |     2     |     0      |    0    |     18     |
|                 games4.qqgametimes.com                 |  Benign |    84    |     0     |     0      |    0    |     9      |
|                    torrentsnows.com                    |  Malign |    72    |     1     |     0      |    0    |     17     |
|                     intensive.int                      |  Malign |    70    |     0     |     1      |    0    |     18     |
|                  auth.merrillcorp.com                  |  Benign |    59    |     0     |     0      |    0    |     7      |
|                      chishir.com                       |  Malign |    63    |     10    |     0      |    0    |     17     |
|                    audiotel.com.mx                     |  Benign |    73    |     0     |     0      |    0    |     17     |
|                       szhxws.com                       |  Benign |    71    |     0     |     0      |    0    |     19     |
|                     airportus.info                     |  Benign |    70    |     0     |     0      |    0    |     20     |
|                  onlineworkplace24.de                  |  Benign |    71    |     0     |     0      |    0    |     19     |
|                    time.alcanet.no                     |  Benign |    69    |     0     |     0      |    0    |     11     |
|                  leavehomesafe.gov.hk                  |  Malign |    72    |     2     |     0      |    0    |     16     |
|                      r.blok.link                       |  Malign |    71    |     0     |     1      |    0    |     18     |
|                    ppp.xxpwgxx.com                     |  Malign |    83    |     1     |     0      |    0    |     9      |
|               api.video.browser.tvall.cn               |  Benign |    80    |     0     |     0      |    0    |     9      |
|                   connect.dewvpn.cc                    |  Malign |    76    |     1     |     0      |    0    |     13     |
|                  discordapp.page.link                  |  Benign |    82    |     0     |     0      |    0    |     10     |
|          endpointdns-gcprod-use1-lb.jfrog.io           |  Benign |    79    |     0     |     0      |    0    |     11     |
|                     pthikitpet.com                     |  Malign |    70    |     1     |     0      |    0    |     19     |
|                    one.exness.link                     |  Benign |    80    |     0     |     0      |    0    |     11     |
