Domain: bannerlord-service-discovery.bannerlord-services-2.net, Feature: rdap_domain_age, SHAP Value: 904408292000000000.00
Domain: yeeterracing.com, Feature: rdap_domain_age, SHAP Value: 867772253000000000.00
Domain: www.zhcsm.cn, Feature: rdap_domain_active_time, SHAP Value: 725760000000000000.00
Domain: babbage.betadome.net, Feature: rdap_domain_active_time, SHAP Value: 631148400000000000.00
Domain: video.browser.tvall.cn, Feature: rdap_domain_age, SHAP Value: 258353706000000000.00
Domain: sso.kkarau.edu.my, Feature: tls_root_cert_lifetime, SHAP Value: 7149.00
Domain: smaxdn.com, Feature: tls_root_cert_lifetime, SHAP Value: 7149.00
Domain: doogh.club, Feature: tls_root_cert_lifetime, SHAP Value: 7148.00
Domain: torrentz2.eu, Feature: tls_root_cert_lifetime, SHAP Value: 6999.00
Domain: blibli.gw-dv.net, Feature: tls_root_cert_lifetime, SHAP Value: 6104.00
Domain: torrent-download.to, Feature: tls_root_cert_lifetime, SHAP Value: 5957.00
Domain: games4.qqgametimes.com, Feature: tls_root_cert_lifetime, SHAP Value: 5951.00
Domain: torrentsnows.com, Feature: tls_root_cert_lifetime, SHAP Value: 5133.00
Domain: intensive.int, Feature: tls_root_cert_lifetime, SHAP Value: 5078.00
Domain: auth.merrillcorp.com, Feature: tls_root_cert_lifetime, SHAP Value: 5077.00
Domain: chishir.com, Feature: tls_root_cert_lifetime, SHAP Value: 5075.00
Domain: audiotel.com.mx, Feature: tls_root_cert_lifetime, SHAP Value: 4937.00
Domain: szhxws.com, Feature: tls_root_cert_lifetime, SHAP Value: 4926.00
Domain: airportus.info, Feature: tls_root_cert_lifetime, SHAP Value: 4289.00
Domain: onlineworkplace24.de, Feature: tls_root_cert_lifetime, SHAP Value: 3648.00
Domain: time.alcanet.no, Feature: tls_root_cert_lifetime, SHAP Value: 3567.00
Domain: leavehomesafe.gov.hk, Feature: tls_root_cert_lifetime, SHAP Value: 3566.00
Domain: r.blok.link, Feature: tls_root_cert_lifetime, SHAP Value: 3496.00
Domain: ppp.xxpwgxx.com, Feature: tls_root_cert_lifetime, SHAP Value: 3481.00
Domain: api.video.browser.tvall.cn, Feature: tls_root_cert_lifetime, SHAP Value: 3411.00
Domain: connect.dewvpn.cc, Feature: tls_root_cert_lifetime, SHAP Value: 3294.00
Domain: discordapp.page.link, Feature: tls_root_cert_lifetime, SHAP Value: 2766.00
Domain: endpointdns-gcprod-use1-lb.jfrog.io, Feature: tls_root_cert_lifetime, SHAP Value: 2591.00
Domain: pthikitpet.com, Feature: tls_root_cert_lifetime, SHAP Value: 2090.00
Domain: one.exness.link, Feature: tls_root_cert_lifetime, SHAP Value: 1730.00
Domain: www.centrumprenatalnidiagnostiky.cz, Feature: tls_root_cert_lifetime, SHAP Value: 1711.00
Domain: vafrike.ru, Feature: tls_root_cert_lifetime, SHAP Value: 1690.00
Domain: www.lnwpickpack.com, Feature: tls_root_cert_lifetime, SHAP Value: 1599.00
Domain: cooooos.com, Feature: tls_root_cert_validity_len, SHAP Value: 1349.00
Domain: dajak.vafrike.ru, Feature: tls_root_cert_validity_len, SHAP Value: 1349.00
Domain: ailanibah.com, Feature: tls_root_cert_validity_len, SHAP Value: 1349.00
Domain: onbase.space, Feature: tls_root_cert_validity_len, SHAP Value: 1349.00
Domain: www.yandex.ua, Feature: tls_root_cert_lifetime, SHAP Value: 1278.00
Domain: api.wmkankan.com, Feature: tls_root_cert_lifetime, SHAP Value: 1277.00
Domain: awrcaverybrstuktdybstr.com, Feature: tls_root_cert_lifetime, SHAP Value: 1138.00
Domain: awecerybtuitbyatr.com, Feature: tls_root_cert_lifetime, SHAP Value: 1117.00
Domain: gm2.iinmobi.com, Feature: tls_root_cert_lifetime, SHAP Value: 1101.00
Domain: airasia.gw-dv.net, Feature: tls_root_cert_lifetime, SHAP Value: 1093.00
Domain: tcs-japan.co.jp, Feature: tls_root_cert_lifetime, SHAP Value: 1064.00
Domain: stra.hasmobi.net, Feature: tls_root_cert_lifetime, SHAP Value: 1058.00
Domain: speed-app.com, Feature: tls_root_cert_lifetime, SHAP Value: 1038.00
